,name,description,discovery date
29,Kepler-1022 b,"Kepler-1022 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 6.17 Earths, it takes 11 days to complete one orbit of its star, and is 0.0805 AU from its star. Its discovery was announced in 2016.",2016
30,Kepler-1023 b,"Kepler-1023 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.41 Earths, it takes 62.1 days to complete one orbit of its star, and is 0.301 AU from its star. Its discovery was announced in 2016.",2016
31,Kepler-1024 b,"Kepler-1024 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 14.5 Earths, it takes 66.4 days to complete one orbit of its star, and is 0.3033 AU from its star. Its discovery was announced in 2016.",2016
32,Kepler-1025 b,"Kepler-1025 b is a super Earth exoplanet that orbits an F-type star. Its mass is 4.58 Earths, it takes 37.3 days to complete one orbit of its star, and is 0.3344 AU from its star. Its discovery was announced in 2016.",2016
33,Kepler-1026 b,"Kepler-1026 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 5.52 Earths, it takes 36.5 days to complete one orbit of its star, and is 0.1977 AU from its star. Its discovery was announced in 2016.",2016
34,Kepler-1027 b,"Kepler-1027 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.64 Earths, it takes 1.9 days to complete one orbit of its star, and is 0.0295 AU from its star. Its discovery was announced in 2016.",2016
35,Kepler-1028 b,"Kepler-1028 b is a super Earth exoplanet that orbits a G-type star. Its mass is 2.33 Earths, it takes 2.5 days to complete one orbit of its star, and is 0.0354 AU from its star. Its discovery was announced in 2016.",2016
36,Kepler-1029 b,"Kepler-1029 b is a super Earth exoplanet that orbits a K-type star. Its mass is 2.13 Earths, it takes 4.4 days to complete one orbit of its star, and is 0.047 AU from its star. Its discovery was announced in 2016.",2016
37,Kepler-102 b,"Kepler-102 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 4.3 Earths, it takes 5.3 days to complete one orbit of its star, and is 0.0552 AU from its star. Its discovery was announced in 2014.",2014
38,Kepler-102 c,"Kepler-102 c is a terrestrial exoplanet that orbits a K-type star. Its mass is 3 Earths, it takes 7.1 days to complete one orbit of its star, and is 0.067 AU from its star. Its discovery was announced in 2014.",2014
39,Kepler-102 d,"Kepler-102 d is a super Earth exoplanet that orbits a K-type star. Its mass is 3.8 Earths, it takes 10.3 days to complete one orbit of its star, and is 0.0862 AU from its star. Its discovery was announced in 2014.",2014
40,Kepler-102 e,"Kepler-102 e is a super Earth exoplanet that orbits a K-type star. Its mass is 8.93 Earths, it takes 16.1 days to complete one orbit of its star, and is 0.1162 AU from its star. Its discovery was announced in 2013.",2013
41,Kepler-102 f,"Kepler-102 f is a terrestrial exoplanet that orbits a K-type star. Its mass is 5.2 Earths, it takes 27.5 days to complete one orbit of its star, and is 0.1655 AU from its star. Its discovery was announced in 2014.",2014
42,Kepler-1030 b,"Kepler-1030 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 6.71 Earths, it takes 19.3 days to complete one orbit of its star, and is 0.1338 AU from its star. Its discovery was announced in 2016.",2016
43,Kepler-1031 b,"Kepler-1031 b is a terrestrial exoplanet that orbits an F-type star. Its mass is 0.59 Earths, it takes 1.2 days to complete one orbit of its star, and is 0.0218 AU from its star. Its discovery was announced in 2016.",2016
44,Kepler-1032 b,"Kepler-1032 b is a super Earth exoplanet that orbits a K-type star. Its mass is 4.16 Earths, it takes 3.3 days to complete one orbit of its star, and is 0.0361 AU from its star. Its discovery was announced in 2016.",2016
45,Kepler-1033 b,"Kepler-1033 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.85 Earths, it takes 7.6 days to complete one orbit of its star, and is 0.0761 AU from its star. Its discovery was announced in 2016.",2016
46,Kepler-1034 b,"Kepler-1034 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 5.73 Earths, it takes 12.1 days to complete one orbit of its star, and is 0.0965 AU from its star. Its discovery was announced in 2016.",2016
47,Kepler-1035 b,"Kepler-1035 b is a super Earth exoplanet that orbits a G-type star. Its mass is 1.71 Earths, it takes 2.7 days to complete one orbit of its star, and is 0.0386 AU from its star. Its discovery was announced in 2016.",2016
48,Kepler-1036 b,"Kepler-1036 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 9.32 Earths, it takes 122.9 days to complete one orbit of its star, and is 0.4629 AU from its star. Its discovery was announced in 2016.",2016
49,Kepler-1037 b,"Kepler-1037 b is a super Earth exoplanet that orbits a K-type star. Its mass is 2.18 Earths, it takes 1.1 days to complete one orbit of its star, and is 0.0198 AU from its star. Its discovery was announced in 2016.",2016
50,Kepler-1038 b,"Kepler-1038 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 12.2 Earths, it takes 148.5 days to complete one orbit of its star, and is 0.5238 AU from its star. Its discovery was announced in 2016.",2016
51,Kepler-1039 b,"Kepler-1039 b is a super Earth exoplanet that orbits a K-type star. Its mass is 2.73 Earths, it takes 0.9 days to complete one orbit of its star, and is 0.0184 AU from its star. Its discovery was announced in 2016.",2016
52,Kepler-103 b,"Kepler-103 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 9.7 Earths, it takes 16 days to complete one orbit of its star, and is 0.1269 AU from its star. Its discovery was announced in 2014.",2014
53,Kepler-103 c,"Kepler-103 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 36.1 Earths, it takes 179.6 days to complete one orbit of its star, and is 0.6372 AU from its star. Its discovery was announced in 2014.",2014
54,Kepler-1040 b,"Kepler-1040 b is a super Earth exoplanet that orbits a G-type star. Its mass is 4.98 Earths, it takes 201.1 days to complete one orbit of its star, and is 0.6559 AU from its star. Its discovery was announced in 2016.",2016
55,Kepler-1041 b,"Kepler-1041 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 8.96 Earths, it takes 24.8 days to complete one orbit of its star, and is 0.1688 AU from its star. Its discovery was announced in 2016.",2016
56,Kepler-1042 b,"Kepler-1042 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 5.43 Earths, it takes 10.1 days to complete one orbit of its star, and is 0.0756 AU from its star. Its discovery was announced in 2016.",2016
57,Kepler-1043 b,"Kepler-1043 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.04 Earths, it takes 38.5 days to complete one orbit of its star, and is 0.2159 AU from its star. Its discovery was announced in 2016.",2016
58,Kepler-1044 b,"Kepler-1044 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 7.61 Earths, it takes 6.8 days to complete one orbit of its star, and is 0.0741 AU from its star. Its discovery was announced in 2016.",2016
59,Kepler-1045 b,"Kepler-1045 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 7.7 Earths, it takes 26.4 days to complete one orbit of its star, and is 0.1616 AU from its star. Its discovery was announced in 2016.",2016
60,Kepler-1046 b,"Kepler-1046 b is a super Earth exoplanet that orbits a G-type star. Its mass is 3.57 Earths, it takes 14.4 days to complete one orbit of its star, and is 0.1167 AU from its star. Its discovery was announced in 2016.",2016
61,Kepler-1047 b,"Kepler-1047 b is a super Earth exoplanet that orbits a G-type star. Its mass is 5.02 Earths, it takes 56.2 days to complete one orbit of its star, and is 0.2939 AU from its star. Its discovery was announced in 2016.",2016
62,Kepler-1047 c,"Kepler-1047 c is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.937 Earths, it takes 3.2 days to complete one orbit of its star, and is 0.0434 AU from its star. Its discovery was announced in 2016.",2016
63,Kepler-1048 b,"Kepler-1048 b is a super Earth exoplanet that orbits a K-type star. Its mass is 3.22 Earths, it takes 6.9 days to complete one orbit of its star, and is 0.059 AU from its star. Its discovery was announced in 2016.",2016
64,Kepler-1049 b,"Kepler-1049 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.809 Earths, it takes 3.3 days to complete one orbit of its star, and is 0.0349 AU from its star. Its discovery was announced in 2016.",2016
65,Kepler-104 b,"Kepler-104 b is a super Earth exoplanet that orbits a G-type star. Its mass is 19.6 Earths, it takes 11.4 days to complete one orbit of its star, and is 0.094 AU from its star. Its discovery was announced in 2014.",2014
66,Kepler-104 c,"Kepler-104 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 9.96 Earths, it takes 23.7 days to complete one orbit of its star, and is 0.153 AU from its star. Its discovery was announced in 2014.",2014
67,Kepler-104 d,"Kepler-104 d is a Neptune-like exoplanet that orbits a G-type star. Its mass is 12.5 Earths, it takes 51.8 days to complete one orbit of its star, and is 0.257 AU from its star. Its discovery was announced in 2014.",2014
68,Kepler-1050 b,"Kepler-1050 b is a super Earth exoplanet that orbits an F-type star. Its mass is 3.19 Earths, it takes 15.4 days to complete one orbit of its star, and is 0.1313 AU from its star. Its discovery was announced in 2016.",2016
69,Kepler-1050 c,"Kepler-1050 c is a super Earth exoplanet that orbits an F-type star. Its mass is 2.79 Earths, it takes 21.1 days to complete one orbit of its star, and is 0.1622 AU from its star. Its discovery was announced in 2016.",2016
70,Kepler-1051 b,"Kepler-1051 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 11.5 Earths, it takes 26 days to complete one orbit of its star, and is 0.1891 AU from its star. Its discovery was announced in 2016.",2016
71,Kepler-1052 b,"Kepler-1052 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 8.91 Earths, it takes 34.9 days to complete one orbit of its star, and is 0.2046 AU from its star. Its discovery was announced in 2016.",2016
72,Kepler-1053 b,"Kepler-1053 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.904 Earths, it takes 2.4 days to complete one orbit of its star, and is 0.0315 AU from its star. Its discovery was announced in 2016.",2016
73,Kepler-1054 b,"Kepler-1054 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 7.41 Earths, it takes 4.3 days to complete one orbit of its star, and is 0.054 AU from its star. Its discovery was announced in 2016.",2016
74,Kepler-1055 b,"Kepler-1055 b is a super Earth exoplanet that orbits a G-type star. Its mass is 2.04 Earths, it takes 2.3 days to complete one orbit of its star, and is 0.0331 AU from its star. Its discovery was announced in 2016.",2016
75,Kepler-1056 b,"Kepler-1056 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 9.32 Earths, it takes 27.5 days to complete one orbit of its star, and is 0.1629 AU from its star. Its discovery was announced in 2016.",2016
76,Kepler-1057 b,"Kepler-1057 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 11.2 Earths, it takes 14.1 days to complete one orbit of its star, and is 0.1138 AU from its star. Its discovery was announced in 2016.",2016
77,Kepler-1058 b,"Kepler-1058 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 7.85 Earths, it takes 111 days to complete one orbit of its star, and is 0.3679 AU from its star. Its discovery was announced in 2016.",2016
78,Kepler-1059 b,"Kepler-1059 b is a super Earth exoplanet that orbits a K-type star. Its mass is 3.64 Earths, it takes 3.8 days to complete one orbit of its star, and is 0.044 AU from its star. Its discovery was announced in 2016.",2016
79,Kepler-105 b,"Kepler-105 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 5.1 Earths, it takes 5.4 days to complete one orbit of its star, and is 0.066 AU from its star. Its discovery was announced in 2013.",2013
80,Kepler-105 c,"Kepler-105 c is a super Earth exoplanet that orbits an F-type star. Its mass is 4.6 Earths, it takes 7.1 days to complete one orbit of its star, and is 0.0711 AU from its star. Its discovery was announced in 2014.",2014
81,Kepler-1060 b,"Kepler-1060 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.26 Earths, it takes 46.9 days to complete one orbit of its star, and is 0.2495 AU from its star. Its discovery was announced in 2016.",2016
82,Kepler-1061 b,"Kepler-1061 b is a super Earth exoplanet that orbits an F-type star. Its mass is 4.58 Earths, it takes 2.8 days to complete one orbit of its star, and is 0.0384 AU from its star. Its discovery was announced in 2016.",2016
83,Kepler-1062 b,"Kepler-1062 b is a super Earth exoplanet that orbits a K-type star. Its mass is 3.75 Earths, it takes 9.3 days to complete one orbit of its star, and is 0.0748 AU from its star. Its discovery was announced in 2016.",2016
84,Kepler-1063 b,"Kepler-1063 b is a super Earth exoplanet that orbits a G-type star. Its mass is 2.83 Earths, it takes 14.1 days to complete one orbit of its star, and is 0.1176 AU from its star. Its discovery was announced in 2016.",2016
85,Kepler-1064 b,"Kepler-1064 b is a super Earth exoplanet that orbits a K-type star. Its mass is 3.02 Earths, it takes 16.5 days to complete one orbit of its star, and is 0.1183 AU from its star. Its discovery was announced in 2016.",2016
86,Kepler-1065 b,"Kepler-1065 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 13.4 Earths, it takes 3.6 days to complete one orbit of its star, and is 0.0455 AU from its star. Its discovery was announced in 2016.",2016
87,Kepler-1065 c,"Kepler-1065 c is a super Earth exoplanet that orbits a G-type star. Its mass is 3.19 Earths, it takes 2.4 days to complete one orbit of its star, and is 0.0344 AU from its star. Its discovery was announced in 2016.",2016
88,Kepler-1066 b,"Kepler-1066 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.17 Earths, it takes 1.9 days to complete one orbit of its star, and is 0.0299 AU from its star. Its discovery was announced in 2016.",2016
89,Kepler-1067 b,"Kepler-1067 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.437 Earths, it takes 0.8 days to complete one orbit of its star, and is 0.0162 AU from its star. Its discovery was announced in 2016.",2016
90,Kepler-1068 b,"Kepler-1068 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 12.8 Earths, it takes 16.9 days to complete one orbit of its star, and is 0.1309 AU from its star. Its discovery was announced in 2016.",2016
91,Kepler-1069 b,"Kepler-1069 b is a super Earth exoplanet that orbits a G-type star. Its mass is 3.19 Earths, it takes 23.9 days to complete one orbit of its star, and is 0.1685 AU from its star. Its discovery was announced in 2016.",2016
92,Kepler-106 b,"Kepler-106 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 5.3 Earths, it takes 6.2 days to complete one orbit of its star, and is 0.0648 AU from its star. Its discovery was announced in 2014.",2014
93,Kepler-106 c,"Kepler-106 c is a super Earth exoplanet that orbits a G-type star. Its mass is 10.44 Earths, it takes 13.6 days to complete one orbit of its star, and is 0.1096 AU from its star. Its discovery was announced in 2014.",2014
94,Kepler-106 d,"Kepler-106 d is a terrestrial exoplanet that orbits a G-type star. Its mass is 8.1 Earths, it takes 24 days to complete one orbit of its star, and is 0.1602 AU from its star. Its discovery was announced in 2014.",2014
95,Kepler-106 e,"Kepler-106 e is a super Earth exoplanet that orbits a G-type star. Its mass is 11.17 Earths, it takes 43.8 days to complete one orbit of its star, and is 0.2395 AU from its star. Its discovery was announced in 2014.",2014
96,Kepler-1070 b,"Kepler-1070 b is a super Earth exoplanet that orbits an F-type star. Its mass is 3.64 Earths, it takes 6.2 days to complete one orbit of its star, and is 0.0693 AU from its star. Its discovery was announced in 2016.",2016
97,Kepler-1071 b,"Kepler-1071 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 6.26 Earths, it takes 6.2 days to complete one orbit of its star, and is 0.0615 AU from its star. Its discovery was announced in 2016.",2016
98,Kepler-1072 b,"Kepler-1072 b is a super Earth exoplanet that orbits an F-type star. Its mass is 3.12 Earths, it takes 1.6 days to complete one orbit of its star, and is 0.0269 AU from its star. Its discovery was announced in 2016.",2016
99,Kepler-1073 b,"Kepler-1073 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 5.9 Earths, it takes 8.7 days to complete one orbit of its star, and is 0.0805 AU from its star. Its discovery was announced in 2016.",2016
100,Kepler-1073 c,"Kepler-1073 c is a super Earth exoplanet that orbits a G-type star. Its mass is 3.33 Earths, it takes 4 days to complete one orbit of its star, and is 0.0483 AU from its star. Its discovery was announced in 2016.",2016
101,Kepler-1074 b,"Kepler-1074 b is a super Earth exoplanet that orbits a K-type star. Its mass is 2.1 Earths, it takes 5.9 days to complete one orbit of its star, and is 0.0536 AU from its star. Its discovery was announced in 2016.",2016
102,Kepler-1075 b,"Kepler-1075 b is a super Earth exoplanet that orbits a K-type star. Its mass is 2.6 Earths, it takes 1.5 days to complete one orbit of its star, and is 0.0208 AU from its star. Its discovery was announced in 2016.",2016
103,Kepler-1076 b,"Kepler-1076 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.437 Earths, it takes 6.1 days to complete one orbit of its star, and is 0.0611 AU from its star. Its discovery was announced in 2016.",2016
104,Kepler-1077 b,"Kepler-1077 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 8.1 Earths, it takes 34.4 days to complete one orbit of its star, and is 0.2101 AU from its star. Its discovery was announced in 2016.",2016
105,Kepler-1078 b,"Kepler-1078 b is a super Earth exoplanet that orbits a G-type star. Its mass is 4.27 Earths, it takes 3 days to complete one orbit of its star, and is 0.0388 AU from its star. Its discovery was announced in 2016.",2016
106,Kepler-1079 b,"Kepler-1079 b is a super Earth exoplanet that orbits a G-type star. Its mass is 3.29 Earths, it takes 13.2 days to complete one orbit of its star, and is 0.1092 AU from its star. Its discovery was announced in 2016.",2016
107,Kepler-107 b,"Kepler-107 b is a super Earth exoplanet that orbits a G-type star. Its mass is 3.51 Earths, it takes 3.2 days to complete one orbit of its star, and is 0.04544 AU from its star. Its discovery was announced in 2014.",2014
108,Kepler-107 c,"Kepler-107 c is a super Earth exoplanet that orbits a G-type star. Its mass is 9.39 Earths, it takes 4.9 days to complete one orbit of its star, and is 0.06064 AU from its star. Its discovery was announced in 2014.",2014
109,Kepler-107 d,"Kepler-107 d is a super Earth exoplanet that orbits a G-type star. Its mass is 3.8 Earths, it takes 8 days to complete one orbit of its star, and is 0.08377 AU from its star. Its discovery was announced in 2014.",2014
110,Kepler-107 e,"Kepler-107 e is a Neptune-like exoplanet that orbits a G-type star. Its mass is 8.6 Earths, it takes 14.7 days to complete one orbit of its star, and is 0.12639 AU from its star. Its discovery was announced in 2014.",2014
111,Kepler-1080 b,"Kepler-1080 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 10.8 Earths, it takes 77.3 days to complete one orbit of its star, and is 0.3781 AU from its star. Its discovery was announced in 2016.",2016
112,Kepler-1081 b,"Kepler-1081 b is a super Earth exoplanet that orbits a G-type star. Its mass is 1.01 Earths, it takes 3.9 days to complete one orbit of its star, and is 0.0466 AU from its star. Its discovery was announced in 2016.",2016
113,Kepler-1082 b,"Kepler-1082 b is a super Earth exoplanet that orbits a G-type star. Its mass is 1.46 Earths, it takes 1.5 days to complete one orbit of its star, and is 0.0257 AU from its star. Its discovery was announced in 2016.",2016
114,Kepler-1083 b,"Kepler-1083 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 11.2 Earths, it takes 33.4 days to complete one orbit of its star, and is 0.1899 AU from its star. Its discovery was announced in 2016.",2016
115,Kepler-1084 b,"Kepler-1084 b is a super Earth exoplanet that orbits an F-type star. Its mass is 1.41 Earths, it takes 2.1 days to complete one orbit of its star, and is 0.0324 AU from its star. Its discovery was announced in 2016.",2016
116,Kepler-1085 b,"Kepler-1085 b is a gas giant exoplanet that orbits an F-type star. Its mass is 0.13 Jupiters, it takes 219.3 days to complete one orbit of its star, and is 0.7391 AU from its star. Its discovery was announced in 2016.",2016
117,Kepler-1085 c,"Kepler-1085 c is a Neptune-like exoplanet that orbits an F-type star. Its mass is 10.7 Earths, it takes 56.8 days to complete one orbit of its star, and is 0.3002 AU from its star. Its discovery was announced in 2020.",2020
118,Kepler-1086 b,"Kepler-1086 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 6.53 Earths, it takes 18.8 days to complete one orbit of its star, and is 0.1198 AU from its star. Its discovery was announced in 2016.",2016
119,Kepler-1086 c,"Kepler-1086 c is a Neptune-like exoplanet that orbits a K-type star. Its mass is 8.96 Earths, it takes 161.5 days to complete one orbit of its star, and is 0.503 AU from its star. Its discovery was announced in 2016.",2016
120,Kepler-1087 b,"Kepler-1087 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.165 Earths, it takes 0.7 days to complete one orbit of its star, and is 0.0148 AU from its star. Its discovery was announced in 2016.",2016
121,Kepler-1088 b,"Kepler-1088 b is a super Earth exoplanet that orbits an F-type star. Its mass is 2.6 Earths, it takes 23.1 days to complete one orbit of its star, and is 0.1602 AU from its star. Its discovery was announced in 2016.",2016
122,Kepler-1089 b,"Kepler-1089 b is a super Earth exoplanet that orbits an M-type star. Its mass is 4.01 Earths, it takes 5.1 days to complete one orbit of its star, and is 0.0497 AU from its star. Its discovery was announced in 2016.",2016
123,Kepler-108 b,"Kepler-108 b is a gas giant exoplanet that orbits a G-type star. Its mass is 0.176 Jupiters, it takes 49.2 days to complete one orbit of its star, and is 0.292 AU from its star. Its discovery was announced in 2014.",2014
124,Kepler-108 c,"Kepler-108 c is a gas giant exoplanet that orbits a G-type star. Its mass is 0.16 Jupiters, it takes 190.3 days to complete one orbit of its star, and is 0.721 AU from its star. Its discovery was announced in 2014.",2014
125,Kepler-1090 b,"Kepler-1090 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 5.69 Earths, it takes 198.7 days to complete one orbit of its star, and is 0.6364 AU from its star. Its discovery was announced in 2016.",2016
126,Kepler-1091 b,"Kepler-1091 b is a super Earth exoplanet that orbits a G-type star. Its mass is 2.73 Earths, it takes 1.4 days to complete one orbit of its star, and is 0.0252 AU from its star. Its discovery was announced in 2016.",2016
127,Kepler-1092 b,"Kepler-1092 b is a super Earth exoplanet that orbits a G-type star. Its mass is 4.94 Earths, it takes 58.6 days to complete one orbit of its star, and is 0.2996 AU from its star. Its discovery was announced in 2016.",2016
128,Kepler-1093 b,"Kepler-1093 b is a super Earth exoplanet that orbits an F-type star. Its mass is 4.46 Earths, it takes 25.1 days to complete one orbit of its star, and is 0.1685 AU from its star. Its discovery was announced in 2016.",2016
