,Unnamed: 0,index,row,name,light years from earth,planet mass,stellar magnitude,discovery date,planet type,planet radius,orbital period,solar system name,planet discovery method,host temperature (Cº),host mass,host radius,Tª type,distance type,planet radius [0],indice masa
53,53,53,1472,Kepler-103 c,1637.0,36.1 Earths,12.247,2014,Neptune-like,0.459 x Jupiter,179.6 days,Kepler-1037,Transit,2438.333333333333,0.82,0.78,muy caliente,criogenia,0.459,36.1
54,54,54,1473,Kepler-1040 b,1543.0,4.98 Earths,13.322,2016,Super Earth,2.08 x Earth,201.1 days,Kepler-1038,Transit,2566.111111111112,0.87,0.83,muy caliente,criogenia,2.08,4.98
55,55,55,1474,Kepler-1041 b,3193.0,8.96 Earths,14.442,2016,Neptune-like,0.262 x Jupiter,24.8 days,Kepler-1039,Transit,2307.777777777778,0.79,0.74,muy caliente,criogenia,0.262,8.96
56,56,56,1475,Kepler-1042 b,2150.0,5.43 Earths,15.672,2016,Neptune-like,2.19 x Earth,10.1 days,Kepler-104,Transit,2775.0,0.96,1.35,muy caliente,criogenia,2.19,5.43
57,57,57,1476,Kepler-1043 b,2734.0,7.04 Earths,14.762,2016,Neptune-like,0.227 x Jupiter,38.5 days,Kepler-104,Transit,2775.0,0.96,1.35,muy caliente,criogenia,0.227,7.04
58,58,58,1477,Kepler-1044 b,4916.0,7.61 Earths,15.306,2016,Neptune-like,0.238 x Jupiter,6.8 days,Kepler-104,Transit,2775.0,0.96,1.35,muy caliente,criogenia,0.238,7.61
59,59,59,1478,Kepler-1045 b,3167.0,7.7 Earths,15.549,2016,Neptune-like,0.24 x Jupiter,26.4 days,Kepler-1040,Transit,2765.555555555556,0.98,0.96,muy caliente,criogenia,0.24,7.7
60,60,60,1479,Kepler-1046 b,1690.0,3.57 Earths,13.248,2016,Super Earth,1.71 x Earth,14.4 days,Kepler-1041,Transit,2911.6666666666665,1.06,1.08,muy caliente,criogenia,1.71,3.57
61,61,61,1480,Kepler-1047 b,1846.0,5.02 Earths,13.329,2016,Super Earth,2.09 x Earth,56.2 days,Kepler-1042,Transit,2277.222222222222,0.75,0.72,muy caliente,criogenia,2.09,5.02
62,62,62,1481,Kepler-1047 c,1846.0,0.937 Earths,13.329,2016,Terrestrial,0.99 x Earth,3.2 days,Kepler-1043,Transit,2729.4444444444443,0.92,0.9,muy caliente,criogenia,0.99,0.937
63,63,63,1482,Kepler-1048 b,1354.0,3.22 Earths,14.844,2016,Super Earth,1.61 x Earth,6.9 days,Kepler-1044,Transit,2927.222222222222,1.08,1.11,muy caliente,criogenia,1.61,3.22
64,64,64,1483,Kepler-1049 b,421.0,0.809 Earths,14.156,2016,Terrestrial,0.95 x Earth,3.3 days,Kepler-1045,Transit,2547.222222222222,0.86,0.82,muy caliente,lejos,0.95,0.809
65,65,65,1484,Kepler-104 b,1322.0,19.6 Earths,12.57,2014,Super Earth,0.277 x Jupiter,11.4 days,Kepler-1046,Transit,2887.222222222222,1.04,1.04,muy caliente,criogenia,0.277,19.6
66,66,66,1485,Kepler-104 c,1322.0,9.96 Earths,12.57,2014,Neptune-like,0.279 x Jupiter,23.7 days,Kepler-1047,Transit,2798.8888888888887,1.08,1.13,muy caliente,criogenia,0.279,9.96
67,67,67,1486,Kepler-104 d,1322.0,12.5 Earths,12.57,2014,Neptune-like,0.319 x Jupiter,51.8 days,Kepler-1047,Transit,2798.8888888888887,1.08,1.13,muy caliente,criogenia,0.319,12.5
68,68,68,1487,Kepler-1050 b,1810.0,3.19 Earths,13.072,2016,Super Earth,1.6 x Earth,15.4 days,Kepler-1048,Transit,2186.111111111112,0.75,0.7,muy caliente,criogenia,1.6,3.19
69,69,69,1488,Kepler-1050 c,1810.0,2.79 Earths,13.072,2016,Super Earth,1.48 x Earth,21.1 days,Kepler-1049,Transit,1748.8888888888887,0.51,0.49,muy caliente,criogenia,1.48,2.79
70,70,70,1489,Kepler-1051 b,3331.0,11.5 Earths,13.116,2016,Neptune-like,0.303 x Jupiter,26 days,Kepler-105,Transit,2839.4444444444443,0.96,0.89,muy caliente,criogenia,0.303,11.5
71,71,71,1490,Kepler-1052 b,3428.0,8.91 Earths,14.861,2016,Neptune-like,0.261 x Jupiter,34.9 days,Kepler-105,Transit,2839.4444444444443,0.96,0.89,muy caliente,criogenia,0.261,8.91
72,72,72,1491,Kepler-1053 b,558.0,0.904 Earths,13.209,2016,Terrestrial,0.98 x Earth,2.4 days,Kepler-1050,Transit,2941.111111111112,1.09,1.13,muy caliente,criogenia,0.98,0.904
73,73,73,1492,Kepler-1054 b,3425.0,7.41 Earths,14.085,2016,Neptune-like,0.235 x Jupiter,4.3 days,Kepler-1050,Transit,2941.111111111112,1.09,1.13,muy caliente,criogenia,0.235,7.41
74,74,74,1493,Kepler-1055 b,1377.0,2.04 Earths,13.073,2016,Super Earth,1.23 x Earth,2.3 days,Kepler-1051,Transit,3310.555555555556,1.43,1.73,muy caliente,criogenia,1.23,2.04
75,75,75,1494,Kepler-1056 b,3167.0,9.32 Earths,14.56,2016,Neptune-like,0.269 x Jupiter,27.5 days,Kepler-1052,Transit,2873.333333333333,1.03,1.03,muy caliente,criogenia,0.269,9.32
76,76,76,1495,Kepler-1057 b,4769.0,11.2 Earths,15.608,2016,Neptune-like,0.3 x Jupiter,14.1 days,Kepler-1053,Transit,2118.333333333333,0.74,0.69,muy caliente,criogenia,0.3,11.2
77,77,77,1496,Kepler-1058 b,1713.0,7.85 Earths,15.504,2016,Neptune-like,0.243 x Jupiter,111 days,Kepler-1054,Transit,3051.6666666666665,1.22,1.34,muy caliente,criogenia,0.243,7.85
78,78,78,1497,Kepler-1059 b,2195.0,3.64 Earths,15.489,2016,Super Earth,1.73 x Earth,3.8 days,Kepler-1055,Transit,2781.6666666666665,0.98,0.94,muy caliente,criogenia,1.73,3.64
79,79,79,1498,Kepler-105 b,1518.0,5.1 Earths,12.802,2013,Neptune-like,0.429 x Jupiter,5.4 days,Kepler-1056,Transit,3006.111111111112,1.12,1.2,muy caliente,criogenia,0.429,5.1
80,80,80,1499,Kepler-105 c,1518.0,4.6 Earths,12.802,2014,Super Earth,1.31 x Earth,7.1 days,Kepler-1057,Transit,2928.333333333333,1.07,1.1,muy caliente,criogenia,1.31,4.6
81,81,81,1500,Kepler-1060 b,2809.0,6.26 Earths,14.637,2016,Neptune-like,0.212 x Jupiter,46.9 days,Kepler-1058,Transit,2182.222222222222,0.73,0.69,muy caliente,criogenia,0.212,6.26
82,82,82,1501,Kepler-1061 b,1908.0,4.58 Earths,13.204,2016,Super Earth,1.98 x Earth,2.8 days,Kepler-1059,Transit,2327.777777777778,0.75,0.72,muy caliente,criogenia,1.98,4.58
83,83,83,1502,Kepler-1062 b,1266.0,3.75 Earths,14.805,2016,Super Earth,1.76 x Earth,9.3 days,Kepler-106,Transit,2856.6666666666665,1.0,1.04,muy caliente,criogenia,1.76,3.75
84,84,84,1503,Kepler-1063 b,1191.0,2.83 Earths,12.261,2016,Super Earth,1.49 x Earth,14.1 days,Kepler-106,Transit,2856.6666666666665,1.0,1.04,muy caliente,criogenia,1.49,2.83
85,85,85,1504,Kepler-1064 b,1220.0,3.02 Earths,13.741,2016,Super Earth,1.55 x Earth,16.5 days,Kepler-106,Transit,2856.6666666666665,1.0,1.04,muy caliente,criogenia,1.55,3.02
86,86,86,1505,Kepler-1065 b,3516.0,13.4 Earths,15.502,2016,Neptune-like,0.333 x Jupiter,3.6 days,Kepler-106,Transit,2856.6666666666665,1.0,1.04,muy caliente,criogenia,0.333,13.4
87,87,87,1506,Kepler-1065 c,3516.0,3.19 Earths,15.502,2016,Super Earth,1.6 x Earth,2.4 days,Kepler-1060,Transit,2822.777777777778,0.99,0.99,muy caliente,criogenia,1.6,3.19
88,88,88,1507,Kepler-1066 b,1302.0,6.17 Earths,13.024,2016,Neptune-like,0.211 x Jupiter,1.9 days,Kepler-1061,Transit,2972.777777777778,1.09,1.07,muy caliente,criogenia,0.211,6.17
89,89,89,1508,Kepler-1067 b,2248.0,0.437 Earths,14.273,2016,Terrestrial,0.8 x Earth,0.8 days,Kepler-1062,Transit,2156.111111111112,0.75,0.7,muy caliente,criogenia,0.8,0.437
90,90,90,1509,Kepler-1068 b,4997.0,12.8 Earths,15.832,2016,Neptune-like,0.324 x Jupiter,16.9 days,Kepler-1063,Transit,2905.0,1.09,1.14,muy caliente,criogenia,0.324,12.8
91,91,91,1510,Kepler-1069 b,1419.0,3.19 Earths,13.098,2016,Super Earth,1.6 x Earth,23.9 days,Kepler-1064,Transit,2465.0,0.85,0.79,muy caliente,criogenia,1.6,3.19
92,92,92,1511,Kepler-106 b,1468.0,5.3 Earths,12.839,2014,Terrestrial,0.82 x Earth,6.2 days,Kepler-1065,Transit,2732.777777777778,0.94,0.93,muy caliente,criogenia,0.82,5.3
93,93,93,1512,Kepler-106 c,1468.0,10.44 Earths,12.839,2014,Super Earth,0.223 x Jupiter,13.6 days,Kepler-1065,Transit,2732.777777777778,0.94,0.93,muy caliente,criogenia,0.223,10.44
94,94,94,1513,Kepler-106 d,1468.0,8.1 Earths,12.839,2014,Terrestrial,0.95 x Earth,24 days,Kepler-1066,Transit,2803.333333333333,0.98,0.98,muy caliente,criogenia,0.95,8.1
95,95,95,1514,Kepler-106 e,1468.0,11.17 Earths,12.839,2014,Super Earth,0.228 x Jupiter,43.8 days,Kepler-1067,Transit,2708.8888888888887,0.95,0.93,muy caliente,criogenia,0.228,11.17
96,96,96,1515,Kepler-1070 b,3392.0,3.64 Earths,13.913,2016,Super Earth,1.73 x Earth,6.2 days,Kepler-1068,Transit,2827.777777777778,1.01,1.01,muy caliente,criogenia,1.73,3.64
97,97,97,1516,Kepler-1071 b,3145.0,6.26 Earths,15.829,2016,Neptune-like,0.212 x Jupiter,6.2 days,Kepler-1069,Transit,2781.111111111112,0.99,0.98,muy caliente,criogenia,0.212,6.26
98,98,98,1517,Kepler-1072 b,3184.0,3.12 Earths,13.842,2016,Super Earth,1.58 x Earth,1.6 days,Kepler-107,Transit,2854.4444444444443,1.24,1.45,muy caliente,criogenia,1.58,3.12
99,99,99,1518,Kepler-1073 b,2730.0,5.9 Earths,14.532,2016,Neptune-like,0.205 x Jupiter,8.7 days,Kepler-107,Transit,2854.4444444444443,1.24,1.45,muy caliente,criogenia,0.205,5.9
100,100,100,1519,Kepler-1073 c,2730.0,3.33 Earths,14.532,2016,Super Earth,1.64 x Earth,4 days,Kepler-107,Transit,2854.4444444444443,1.24,1.45,muy caliente,criogenia,1.64,3.33
101,101,101,1520,Kepler-1074 b,799.0,2.1 Earths,15.006,2016,Super Earth,1.25 x Earth,5.9 days,Kepler-107,Transit,2854.4444444444443,1.24,1.45,muy caliente,criogenia,1.25,2.1
102,102,102,1521,Kepler-1075 b,864.0,2.6 Earths,15.37,2016,Super Earth,1.42 x Earth,1.5 days,Kepler-1070,Transit,3080.555555555556,1.21,1.32,muy caliente,criogenia,1.42,2.6
103,103,103,1522,Kepler-1076 b,649.0,0.437 Earths,12.949,2016,Terrestrial,0.8 x Earth,6.1 days,Kepler-1071,Transit,2499.4444444444443,0.86,0.81,muy caliente,criogenia,0.8,0.437
104,104,104,1523,Kepler-1077 b,3582.0,8.1 Earths,14.998,2016,Neptune-like,0.247 x Jupiter,34.4 days,Kepler-1072,Transit,3046.111111111112,1.2,1.32,muy caliente,criogenia,0.247,8.1
105,105,105,1524,Kepler-1078 b,3963.0,4.27 Earths,15.607,2016,Super Earth,1.9 x Earth,3 days,Kepler-1073,Transit,2820.0,1.0,1.0,muy caliente,criogenia,1.9,4.27
106,106,106,1525,Kepler-1079 b,1569.0,3.29 Earths,12.584,2016,Super Earth,1.63 x Earth,13.2 days,Kepler-1073,Transit,2820.0,1.0,1.0,muy caliente,criogenia,1.63,3.29
107,107,107,1526,Kepler-107 b,1714.0,3.51 Earths,12.7,2014,Super Earth,1.536 x Earth,3.2 days,Kepler-1074,Transit,1825.555555555556,0.6,0.57,muy caliente,criogenia,1.536,3.51
108,108,108,1527,Kepler-107 c,1714.0,9.39 Earths,12.7,2014,Super Earth,1.597 x Earth,4.9 days,Kepler-1075,Transit,1801.6666666666663,0.56,0.54,muy caliente,criogenia,1.597,9.39
109,109,109,1528,Kepler-107 d,1714.0,3.8 Earths,12.7,2014,Super Earth,0.86 x Earth,8 days,Kepler-1076,Transit,2306.6666666666665,0.79,0.74,muy caliente,criogenia,0.86,3.8
110,110,110,1529,Kepler-107 e,1714.0,8.6 Earths,12.7,2014,Neptune-like,0.259 x Jupiter,14.7 days,Kepler-1077,Transit,2833.333333333333,1.02,1.02,muy caliente,criogenia,0.259,8.6
111,111,111,1530,Kepler-1080 b,2244.0,10.8 Earths,13.409,2016,Neptune-like,0.293 x Jupiter,77.3 days,Kepler-1078,Transit,2720.0,0.94,0.92,muy caliente,criogenia,0.293,10.8
112,112,112,1531,Kepler-1081 b,1386.0,1.01 Earths,13.711,2016,Super Earth,1.01 x Earth,3.9 days,Kepler-1079,Transit,2801.111111111112,1.08,1.36,muy caliente,criogenia,1.01,1.01
113,113,113,1532,Kepler-1082 b,2049.0,1.46 Earths,13.342,2016,Super Earth,1.12 x Earth,1.5 days,Kepler-108,Transit,2854.4444444444443,0.96,2.19,muy caliente,criogenia,1.12,1.46
114,114,114,1533,Kepler-1083 b,2975.0,11.2 Earths,15.85,2016,Neptune-like,0.3 x Jupiter,33.4 days,Kepler-108,Transit,2854.4444444444443,0.96,2.19,muy caliente,criogenia,0.3,11.2
115,115,115,1534,Kepler-1084 b,1393.0,1.41 Earths,12.158,2016,Super Earth,1.11 x Earth,2.1 days,Kepler-1080,Transit,2911.111111111112,1.1,1.16,muy caliente,criogenia,1.11,1.41
116,116,116,1535,Kepler-1085 b,4952.0,0.13 Jupiters,15.247,2016,Gas Giant,0.644 x Jupiter,219.3 days,Kepler-1081,Transit,2571.6666666666665,0.88,0.84,muy caliente,criogenia,0.644,0.13
117,117,117,1536,Kepler-1085 c,4952.0,10.7 Earths,15.247,2020,Neptune-like,0.292 x Jupiter,56.8 days,Kepler-1082,Transit,2892.777777777778,1.03,1.14,muy caliente,criogenia,0.292,10.7
118,118,118,1537,Kepler-1086 b,1514.0,6.53 Earths,15.555,2016,Neptune-like,0.218 x Jupiter,18.8 days,Kepler-1083,Transit,2407.222222222222,0.81,0.77,muy caliente,criogenia,0.218,6.53
119,119,119,1538,Kepler-1086 c,1514.0,8.96 Earths,15.555,2016,Neptune-like,0.262 x Jupiter,161.5 days,Kepler-1084,Transit,2998.333333333333,1.12,1.28,muy caliente,criogenia,0.262,8.96
120,120,120,1539,Kepler-1087 b,1155.0,0.165 Earths,12.901,2016,Terrestrial,0.61 x Earth,0.7 days,Kepler-1085,Transit,2935.555555555556,1.11,1.14,muy caliente,criogenia,0.61,0.165
121,121,121,1540,Kepler-1088 b,979.0,2.6 Earths,11.778,2016,Super Earth,1.42 x Earth,23.1 days,Kepler-1085,Transit,2935.555555555556,1.11,1.14,muy caliente,criogenia,1.42,2.6
122,122,122,1541,Kepler-1089 b,740.0,4.01 Earths,15.598,2016,Super Earth,1.83 x Earth,5.1 days,Kepler-1086,Transit,2018.8888888888887,0.7,0.66,muy caliente,criogenia,1.83,4.01
123,123,123,1542,Kepler-108 b,2378.0,0.176 Jupiters,13.084,2014,Gas Giant,0.772 x Jupiter,49.2 days,Kepler-1086,Transit,2018.8888888888887,0.7,0.66,muy caliente,criogenia,0.772,0.176
124,124,124,1543,Kepler-108 c,2378.0,0.16 Jupiters,13.084,2014,Gas Giant,0.73 x Jupiter,190.3 days,Kepler-1087,Transit,2707.222222222222,0.96,0.94,muy caliente,criogenia,0.73,0.16
125,125,125,1544,Kepler-1090 b,2290.0,5.69 Earths,14.996,2016,Neptune-like,0.201 x Jupiter,198.7 days,Kepler-1088,Transit,2921.6666666666665,1.08,1.08,muy caliente,criogenia,0.201,5.69
