,index,row,name,light years from earth,planet mass,stellar magnitude,discovery date,planet type,planet radius,orbital radius,orbital period,eccentricity,solar system name,planet discovery method,right ascension,declination,host temperature (Cº),host mass,host radius,Tª type,distance type,planet radius [0],kepid,koi_impact,koi_prad
0,1419,1419,Kepler-1000 b,3017.0,20.3 Earths,13.192,2016,Neptune-like,0.425 x Jupiter,Unknown,120 days,0,Kepler-10,Transit,19h02m43.05s,+50d14m28.7s,2773.3333333333335,0.91,1.06,muy caliente,criogenia,0.425,10063802,0.58,4.54
1,1420,1420,Kepler-1001 b,3291.0,10.1 Earths,15.33,2016,Neptune-like,0.281 x Jupiter,Unknown,14.3 days,0,Kepler-10,Transit,19h02m43.05s,+50d14m28.7s,2773.3333333333335,0.91,1.06,muy caliente,criogenia,0.281,11074178,0.924,3.05
2,1421,1421,Kepler-1001 c,3291.0,3.11 Earths,15.33,2020,Super Earth,1.578 x Earth,Unknown,9.2 days,0,Kepler-100,Transit,19h25m32.63s,+41d59m25.0s,2838.3333333333335,1.08,1.49,muy caliente,criogenia,1.578,11074178,0.971,2.17
3,1422,1422,Kepler-1002 b,1386.0,3.57 Earths,11.647,2016,Super Earth,1.71 x Earth,Unknown,4.3 days,0,Kepler-100,Transit,19h25m32.63s,+41d59m25.0s,2838.3333333333335,1.08,1.49,muy caliente,criogenia,1.71,7449136,0.641,1.75
4,1423,1423,Kepler-1003 b,2848.0,3.82 Earths,14.023,2016,Super Earth,1.78 x Earth,Unknown,3.6 days,0,Kepler-100,Transit,19h25m32.63s,+41d59m25.0s,2838.3333333333335,1.08,1.49,muy caliente,criogenia,1.78,8689793,0.331,1.29
5,1424,1424,Kepler-1004 b,3523.0,32.5 Earths,13.4,2016,Neptune-like,0.56 x Jupiter,Unknown,5.3 days,0,Kepler-1000,Transit,19h06m44.53s,+47d05m53.6s,3187.222222222222,1.4,1.51,muy caliente,criogenia,0.56,11673802,0.474,7.1
6,1425,1425,Kepler-1005 b,1680.0,2.86 Earths,13.184,2016,Super Earth,1.5 x Earth,Unknown,6.5 days,0,Kepler-1001,Transit,19h05m05.73s,+48d37m07.3s,2652.777777777778,0.9,0.88,muy caliente,criogenia,1.5,7668663,0.92,1.87
7,1426,1426,Kepler-1006 b,1618.0,2.99 Earths,14.563,2016,Super Earth,1.54 x Earth,Unknown,19.8 days,0,Kepler-1001,Transit,19h05m05.73s,+48d37m07.3s,2652.777777777778,0.9,0.88,muy caliente,criogenia,1.54,7047922,0.924,2.81
8,1427,1427,Kepler-1007 b,1191.0,2.67 Earths,14.735,2016,Super Earth,1.44 x Earth,Unknown,5.2 days,0,Kepler-1002,Transit,19h32m19.08s,+43d04m25.4s,3015.5555555555557,1.22,1.57,muy caliente,criogenia,1.44,9353314,0.021,1.15
9,1428,1428,Kepler-1008 b,975.0,2.18 Earths,13.379,2016,Super Earth,1.28 x Earth,Unknown,12.4 days,0,Kepler-1003,Transit,19h28m04.91s,+44d52m34.4s,2996.1111111111113,1.11,1.17,muy caliente,criogenia,1.28,8766650,0.663,1.3
10,1429,1429,Kepler-1009 b,917.0,5.35 Earths,15.301,2016,Neptune-like,2.17 x Earth,Unknown,11.4 days,0,Kepler-1004,Transit,19h49m26.23s,+49d47m51.2s,2364.4444444444443,1.11,3.39,muy caliente,criogenia,2.17,7094486,0.035,1.75
11,1430,1430,Kepler-100 b,1003.0,7.34 Earths,11.129,2014,Super Earth,1.32 x Earth,Unknown,6.9 days,0.13,Kepler-1005,Transit,19h05m08.64s,+43d19m13.7s,2814.4444444444443,1.0,1.06,muy caliente,criogenia,1.32,6521045,0.696,1.3
12,1431,1431,Kepler-100 c,1003.0,7.05 Earths,11.129,2014,Neptune-like,2.2 x Earth,Unknown,12.8 days,0.02,Kepler-1006,Transit,19h43m00.99s,+42d32m14.9s,2562.222222222222,0.78,0.74,muy caliente,criogenia,2.2,6521045,0.58,2.26
13,1432,1432,Kepler-100 d,1003.0,3 Earths,11.129,2014,Super Earth,1.61 x Earth,Unknown,35.3 days,0.38,Kepler-1007,Transit,19h43m37.57s,+45d48m32.8s,2150.5555555555557,0.73,0.7,muy caliente,criogenia,1.61,6521045,0.656,1.55
14,1433,1433,Kepler-1010 b,1990.0,5.99 Earths,14.687,2016,Neptune-like,0.207 x Jupiter,Unknown,34.3 days,0,Kepler-1008,Transit,19h46m11.41s,+44d56m31.0s,2416.6666666666665,0.81,0.78,muy caliente,criogenia,0.207,8226050,0.677,2.44
15,1434,1434,Kepler-1011 b,2805.0,8.6 Earths,15.203,2016,Neptune-like,0.256 x Jupiter,Unknown,5.8 days,0,Kepler-1009,Transit,18h51m26.38s,+42d39m56.8s,1839.4444444444443,0.59,0.57,muy caliente,criogenia,0.256,9965957,0.921,3.14
16,1435,1435,Kepler-1012 b,1370.0,2.21 Earths,13.315,2016,Super Earth,1.29 x Earth,Unknown,5.5 days,0,Kepler-101,Transit,18h53m01.32s,+48d21m18.8s,2750.5555555555557,1.17,1.56,muy caliente,criogenia,1.29,9704384,0.879,1.49
17,1436,1436,Kepler-1013 b,1412.0,5.27 Earths,14.408,2016,Neptune-like,2.15 x Earth,Unknown,18.9 days,0,Kepler-101,Transit,18h53m01.32s,+48d21m18.8s,2750.5555555555557,1.17,1.56,muy caliente,criogenia,2.15,8426567,0.583,4.41
18,1437,1437,Kepler-1014 b,2192.0,6.3 Earths,14.627,2016,Neptune-like,0.213 x Jupiter,Unknown,16.6 days,0,Kepler-1010,Transit,19h16m46.23s,+44d08m57.6s,2520.5555555555557,0.86,0.82,muy caliente,criogenia,0.213,8218379,0.55,2.03
19,1438,1438,Kepler-1015 b,3040.0,12.3 Earths,12.759,2016,Neptune-like,0.317 x Jupiter,Unknown,16 days,0,Kepler-1011,Transit,19h49m36.37s,+46d49m26.4s,2611.1111111111113,0.91,0.88,muy caliente,criogenia,0.317,7755636,0.013,3.71
20,1439,1439,Kepler-1016 b,4042.0,5.39 Earths,15.319,2016,Neptune-like,2.18 x Earth,Unknown,2 days,0,Kepler-1012,Transit,19h17m11.10s,+46d27m28.6s,2688.8888888888887,0.95,0.91,muy caliente,criogenia,2.18,9411166,0.673,2.38
21,1440,1440,Kepler-1016 c,4042.0,13.1 Earths,15.319,2016,Neptune-like,0.328 x Jupiter,Unknown,105.7 days,0,Kepler-1013,Transit,19h20m59.54s,+44d26m06.9s,2354.4444444444443,0.81,0.76,muy caliente,criogenia,0.328,9411166,0.371,4.22
22,1441,1441,Kepler-1017 b,1807.0,4.62 Earths,14.115,2016,Super Earth,1.99 x Earth,Unknown,7.2 days,0,Kepler-1014,Transit,19h00m29.29s,+44d06m38.2s,2595.5555555555557,0.88,0.84,muy caliente,criogenia,1.99,4989057,0.032,1.78
23,1442,1442,Kepler-1018 b,2916.0,7.18 Earths,15.014,2016,Neptune-like,0.23 x Jupiter,Unknown,49.1 days,0,Kepler-1015,Transit,19h31m01.76s,+43d25m36.9s,3362.777777777778,1.49,1.81,muy caliente,criogenia,0.23,9072190,0.52,3.28
24,1443,1443,Kepler-1019 b,646.0,2.73 Earths,13.593,2016,Super Earth,1.46 x Earth,Unknown,1.4 days,0,Kepler-1016,Transit,19h38m27.27s,+45d59m04.6s,2836.1111111111113,0.99,1.0,muy caliente,criogenia,1.46,10190777,0.851,1.71
25,1444,1444,Kepler-101 b,3110.0,0.16 Jupiters,13.8,2014,Gas Giant,0.51 x Jupiter,0.0474 AU,3.5 days,0.09,Kepler-1016,Transit,19h38m27.27s,+45d59m04.6s,2836.1111111111113,0.99,1.0,muy caliente,criogenia,0.51,10905239,0.026,5.64
26,1445,1445,Kepler-101 c,3110.0,3.78 Earths,13.8,2014,Super Earth,1.25 x Earth,0.0684 AU,6 days,0,Kepler-1017,Transit,18h53m52.65s,+40d07m57.4s,2642.777777777778,0.93,0.87,muy caliente,criogenia,1.25,10905239,0.379,1.18
27,1446,1446,Kepler-1020 b,1455.0,5.82 Earths,13.983,2016,Neptune-like,0.203 x Jupiter,Unknown,96.9 days,0,Kepler-1018,Transit,18h54m23.21s,+45d24m28.4s,2667.777777777778,0.91,0.88,muy caliente,criogenia,0.203,9651234,0.541,2.37
28,1447,1447,Kepler-1021 b,2730.0,6.04 Earths,15.173,2016,Neptune-like,0.208 x Jupiter,Unknown,13.5 days,0,Kepler-1019,Transit,18h54m52.21s,+47d12m16.0s,2065.0,0.7,0.67,muy caliente,criogenia,0.208,7045496,0.025,1.96
29,1448,1448,Kepler-1022 b,1484.0,6.17 Earths,15.377,2016,Neptune-like,0.211 x Jupiter,Unknown,11 days,0,Kepler-102,Transit,18h45m55.86s,+47d12m28.9s,2329.4444444444443,0.81,0.76,muy caliente,criogenia,0.211,10005788,0.265,1.71
30,1449,1449,Kepler-1023 b,2238.0,7.41 Earths,14.502,2016,Neptune-like,0.235 x Jupiter,Unknown,62.1 days,0,Kepler-102,Transit,18h45m55.86s,+47d12m28.9s,2329.4444444444443,0.81,0.76,muy caliente,criogenia,0.235,11656918,0.699,5.14
31,1450,1450,Kepler-1024 b,3317.0,14.5 Earths,16.006,2016,Neptune-like,0.349 x Jupiter,Unknown,66.4 days,0,Kepler-102,Transit,18h45m55.86s,+47d12m28.9s,2329.4444444444443,0.81,0.76,muy caliente,criogenia,0.349,3118797,0.371,3.44
32,1451,1451,Kepler-1025 b,2336.0,4.58 Earths,13.556,2016,Super Earth,1.98 x Earth,Unknown,37.3 days,0,Kepler-102,Transit,18h45m55.86s,+47d12m28.9s,2329.4444444444443,0.81,0.76,muy caliente,criogenia,1.98,8081187,0.608,35.34
33,1452,1452,Kepler-1026 b,1269.0,5.52 Earths,14.202,2016,Neptune-like,2.21 x Earth,Unknown,36.5 days,0,Kepler-102,Transit,18h45m55.86s,+47d12m28.9s,2329.4444444444443,0.81,0.76,muy caliente,criogenia,2.21,4813563,0.787,2.55
34,1453,1453,Kepler-1027 b,949.0,0.64 Earths,12.84,2016,Terrestrial,0.89 x Earth,Unknown,1.9 days,0,Kepler-1020,Transit,19h30m41.41s,+46d22m38.7s,2506.1111111111113,0.87,0.8,muy caliente,criogenia,0.89,7269493,0.41,0.91
35,1454,1454,Kepler-1028 b,2065.0,2.33 Earths,14.31,2016,Super Earth,1.33 x Earth,Unknown,2.5 days,0,Kepler-1021,Transit,19h40m49.18s,+42d33m34.9s,2619.4444444444443,0.89,0.86,muy caliente,criogenia,1.33,11657891,0.247,1.27
36,1455,1455,Kepler-1029 b,1377.0,2.13 Earths,14.301,2016,Super Earth,1.26 x Earth,Unknown,4.4 days,0,Kepler-1022,Transit,19h17m24.48s,+46d58m25.4s,2071.6666666666665,0.71,0.68,muy caliente,criogenia,1.26,6205897,0.971,1.57
37,1456,1456,Kepler-102 b,353.0,4.3 Earths,11.478,2014,Terrestrial,0.47 x Earth,Unknown,5.3 days,0,Kepler-1023,Transit,19h16m07.14s,+49d46m10.9s,2654.4444444444443,0.93,0.89,muy caliente,lejos,0.47,10187017,0.705,0.51
38,1457,1457,Kepler-102 c,353.0,3 Earths,11.478,2014,Terrestrial,0.58 x Earth,Unknown,7.1 days,0,Kepler-1024,Transit,19h27m48.24s,+38d15m06.1s,2459.4444444444443,0.81,0.78,muy caliente,lejos,0.58,10187017,0.658,0.63
39,1458,1458,Kepler-102 d,353.0,3.8 Earths,11.478,2014,Super Earth,1.18 x Earth,Unknown,10.3 days,0,Kepler-1025,Transit,18h58m02.45s,+43d57m42.0s,2985.0,1.09,1.13,muy caliente,lejos,1.18,10187017,0.747,1.34
40,1459,1459,Kepler-102 e,353.0,8.93 Earths,11.478,2013,Super Earth,2.22 x Earth,Unknown,16.1 days,0,Kepler-1026,Transit,18h54m25.26s,+39d59m52.7s,2351.1111111111113,0.79,0.75,muy caliente,lejos,2.22,10187017,0.75,2.48
41,1460,1460,Kepler-102 f,353.0,5.2 Earths,11.478,2014,Terrestrial,0.88 x Earth,Unknown,27.5 days,0,Kepler-1027,Transit,19h10m17.08s,+42d48m50.1s,2622.222222222222,0.91,0.82,muy caliente,lejos,0.88,10187017,0.765,0.95
42,1461,1461,Kepler-1030 b,2593.0,6.71 Earths,15.716,2016,Neptune-like,0.221 x Jupiter,Unknown,19.3 days,0,Kepler-1028,Transit,19h18m22.34s,+49d46m52.2s,2670.0,0.9,0.87,muy caliente,criogenia,0.221,9347009,0.009,2.26
43,1462,1462,Kepler-1031 b,2417.0,0.59 Earths,13.8,2016,Terrestrial,0.87 x Earth,Unknown,1.2 days,0,Kepler-1029,Transit,19h28m31.91s,+41d32m51.1s,2396.6666666666665,0.82,0.77,muy caliente,criogenia,0.87,11253711,0.005,1.0
44,1463,1463,Kepler-1032 b,1980.0,4.16 Earths,15.799,2016,Super Earth,1.87 x Earth,Unknown,3.3 days,0,Kepler-103,Transit,19h15m56.29s,+40d03m52.3s,2849.4444444444443,1.09,1.44,muy caliente,criogenia,1.87,4917596,0.203,1.49
45,1464,1464,Kepler-1033 b,4648.0,6.85 Earths,15.929,2016,Neptune-like,0.224 x Jupiter,Unknown,7.6 days,0,Kepler-103,Transit,19h15m56.29s,+40d03m52.3s,2849.4444444444443,1.09,1.44,muy caliente,criogenia,0.224,8543100,0.022,2.4
46,1465,1465,Kepler-1034 b,2303.0,5.73 Earths,15.074,2016,Neptune-like,0.202 x Jupiter,Unknown,12.1 days,0,Kepler-1030,Transit,19h34m43.66s,+45d49m03.2s,2370.5555555555557,0.8,0.76,muy caliente,criogenia,0.202,2693736,0.029,2.37
47,1466,1466,Kepler-1035 b,1331.0,1.71 Earths,13.005,2016,Super Earth,1.17 x Earth,Unknown,2.7 days,0,Kepler-1031,Transit,19h44m21.54s,+48d57m19.4s,2941.6666666666665,1.09,1.12,muy caliente,criogenia,1.17,7273277,0.868,1.38
48,1467,1467,Kepler-1036 b,1654.0,9.32 Earths,13.764,2016,Neptune-like,0.269 x Jupiter,Unknown,122.9 days,0,Kepler-1032,Transit,19h19m43.41s,+40d05m51.9s,2183.8888888888887,0.77,0.71,muy caliente,criogenia,0.269,11769890,0.872,2.7
49,1468,1468,Kepler-1037 b,1471.0,2.18 Earths,14.231,2016,Super Earth,1.28 x Earth,Unknown,1.1 days,0,Kepler-1033,Transit,18h55m22.83s,+44d36m32.7s,2683.8888888888887,0.94,0.92,muy caliente,criogenia,1.28,10153855,0.466,1.61
50,1469,1469,Kepler-1038 b,2029.0,12.2 Earths,14.856,2016,Neptune-like,0.315 x Jupiter,Unknown,148.5 days,0,Kepler-1034,Transit,19h04m27.69s,+37d58m01.2s,2490.0,0.83,0.8,muy caliente,criogenia,0.315,8257205,0.808,3.61
51,1470,1470,Kepler-1039 b,1057.0,2.73 Earths,14.096,2016,Super Earth,1.46 x Earth,Unknown,0.9 days,0,Kepler-1035,Transit,19h16m10.13s,+42d52m57.0s,2803.8888888888887,0.98,0.97,muy caliente,criogenia,1.46,9044228,0.731,3.21
52,1471,1471,Kepler-103 b,1637.0,9.7 Earths,12.247,2014,Neptune-like,0.301 x Jupiter,Unknown,16 days,0.03,Kepler-1036,Transit,19h40m43.59s,+49d56m44.8s,2676.1111111111113,0.95,0.89,muy caliente,criogenia,0.301,4914423,0.674,3.33
53,1472,1472,Kepler-103 c,1637.0,36.1 Earths,12.247,2014,Neptune-like,0.459 x Jupiter,Unknown,179.6 days,0.02,Kepler-1037,Transit,19h45m21.85s,+47d10m15.1s,2438.3333333333335,0.82,0.78,muy caliente,criogenia,0.459,4914423,0.711,5.47
54,1473,1473,Kepler-1040 b,1543.0,4.98 Earths,13.322,2016,Super Earth,2.08 x Earth,Unknown,201.1 days,0,Kepler-1038,Transit,19h55m53.32s,+44d07m56.6s,2566.1111111111113,0.87,0.83,muy caliente,criogenia,2.08,10779233,0.001,2.28
55,1474,1474,Kepler-1041 b,3193.0,8.96 Earths,14.442,2016,Neptune-like,0.262 x Jupiter,Unknown,24.8 days,0,Kepler-1039,Transit,19h53m18.38s,+45d18m55.9s,2307.777777777778,0.79,0.74,muy caliente,criogenia,0.262,11614617,0.896,2.44
56,1475,1475,Kepler-1042 b,2150.0,5.43 Earths,15.672,2016,Neptune-like,2.19 x Earth,Unknown,10.1 days,0,Kepler-104,Transit,19h10m25.11s,+42d10m00.4s,2775.0,0.96,1.35,muy caliente,criogenia,2.19,4736569,0.03,1.67
57,1476,1476,Kepler-1043 b,2734.0,7.04 Earths,14.762,2016,Neptune-like,0.227 x Jupiter,Unknown,38.5 days,0,Kepler-104,Transit,19h10m25.11s,+42d10m00.4s,2775.0,0.96,1.35,muy caliente,criogenia,0.227,10384798,0.654,2.45
58,1477,1477,Kepler-1044 b,4916.0,7.61 Earths,15.306,2016,Neptune-like,0.238 x Jupiter,Unknown,6.8 days,0,Kepler-104,Transit,19h10m25.11s,+42d10m00.4s,2775.0,0.96,1.35,muy caliente,criogenia,0.238,9834040,0.026,2.5
59,1478,1478,Kepler-1045 b,3167.0,7.7 Earths,15.549,2016,Neptune-like,0.24 x Jupiter,Unknown,26.4 days,0,Kepler-1040,Transit,18h52m27.31s,+48d07m53.0s,2765.5555555555557,0.98,0.96,muy caliente,criogenia,0.24,8802693,0.674,2.45
60,1479,1479,Kepler-1046 b,1690.0,3.57 Earths,13.248,2016,Super Earth,1.71 x Earth,Unknown,14.4 days,0,Kepler-1041,Transit,19h35m31.62s,+49d40m59.4s,2911.6666666666665,1.06,1.08,muy caliente,criogenia,1.71,10024701,0.927,2.05
61,1480,1480,Kepler-1047 b,1846.0,5.02 Earths,13.329,2016,Super Earth,2.09 x Earth,Unknown,56.2 days,0,Kepler-1042,Transit,19h14m40.54s,+39d49m26.4s,2277.222222222222,0.75,0.72,muy caliente,criogenia,2.09,12154526,0.873,2.56
62,1481,1481,Kepler-1047 c,1846.0,0.937 Earths,13.329,2016,Terrestrial,0.99 x Earth,Unknown,3.2 days,0,Kepler-1043,Transit,18h46m39.12s,+47d34m06.9s,2729.4444444444443,0.92,0.9,muy caliente,criogenia,0.99,12154526,0.526,0.98
63,1482,1482,Kepler-1048 b,1354.0,3.22 Earths,14.844,2016,Super Earth,1.61 x Earth,Unknown,6.9 days,0,Kepler-1044,Transit,19h32m34.67s,+46d39m58.5s,2927.222222222222,1.08,1.11,muy caliente,criogenia,1.61,6665512,0.771,1.48
64,1483,1483,Kepler-1049 b,421.0,0.809 Earths,14.156,2016,Terrestrial,0.95 x Earth,Unknown,3.3 days,0,Kepler-1045,Transit,18h56m43.99s,+45d04m26.8s,2547.222222222222,0.86,0.82,muy caliente,lejos,0.95,10525027,0.44,0.81
65,1484,1484,Kepler-104 b,1322.0,19.6 Earths,12.57,2014,Super Earth,0.277 x Jupiter,0.094 AU,11.4 days,0,Kepler-1046,Transit,19h47m01.38s,+46d59m53.8s,2887.222222222222,1.04,1.04,muy caliente,criogenia,0.277,6678383,0.608,2.35
66,1485,1485,Kepler-104 c,1322.0,9.96 Earths,12.57,2014,Neptune-like,0.279 x Jupiter,0.153 AU,23.7 days,0,Kepler-1047,Transit,19h14m35.10s,+50d47m20.3s,2798.8888888888887,1.08,1.13,muy caliente,criogenia,0.279,6678383,0.758,2.32
67,1486,1486,Kepler-104 d,1322.0,12.5 Earths,12.57,2014,Neptune-like,0.319 x Jupiter,0.257 AU,51.8 days,0,Kepler-1047,Transit,19h14m35.10s,+50d47m20.3s,2798.8888888888887,1.08,1.13,muy caliente,criogenia,0.319,6678383,0.638,2.61
68,1487,1487,Kepler-1050 b,1810.0,3.19 Earths,13.072,2016,Super Earth,1.6 x Earth,Unknown,15.4 days,0,Kepler-1048,Transit,18h47m35.60s,+42d09m56.8s,2186.1111111111113,0.75,0.7,muy caliente,criogenia,1.6,11069176,0.359,2.94
69,1488,1488,Kepler-1050 c,1810.0,2.79 Earths,13.072,2016,Super Earth,1.48 x Earth,Unknown,21.1 days,0,Kepler-1049,Transit,19h09m23.22s,+47d46m22.6s,1748.8888888888887,0.51,0.49,muy caliente,criogenia,1.48,11069176,0.36,2.88
70,1489,1489,Kepler-1051 b,3331.0,11.5 Earths,13.116,2016,Neptune-like,0.303 x Jupiter,Unknown,26 days,0,Kepler-105,Transit,19h11m32.96s,+46d16m34.5s,2839.4444444444443,0.96,0.89,muy caliente,criogenia,0.303,5631630,0.02,3.25
71,1490,1490,Kepler-1052 b,3428.0,8.91 Earths,14.861,2016,Neptune-like,0.261 x Jupiter,Unknown,34.9 days,0,Kepler-105,Transit,19h11m32.96s,+46d16m34.5s,2839.4444444444443,0.96,0.89,muy caliente,criogenia,0.261,9839821,0.493,2.4
72,1491,1491,Kepler-1053 b,558.0,0.904 Earths,13.209,2016,Terrestrial,0.98 x Earth,Unknown,2.4 days,0,Kepler-1050,Transit,18h51m42.00s,+48d37m35.0s,2941.1111111111113,1.09,1.13,muy caliente,criogenia,0.98,4056616,0.221,0.97
73,1492,1492,Kepler-1054 b,3425.0,7.41 Earths,14.085,2016,Neptune-like,0.235 x Jupiter,Unknown,4.3 days,0,Kepler-1050,Transit,18h51m42.00s,+48d37m35.0s,2941.1111111111113,1.09,1.13,muy caliente,criogenia,0.235,8492026,0.894,1.95
74,1493,1493,Kepler-1055 b,1377.0,2.04 Earths,13.073,2016,Super Earth,1.23 x Earth,Unknown,2.3 days,0,Kepler-1051,Transit,19h40m37.95s,+40d53m55.9s,3310.5555555555557,1.43,1.73,muy caliente,criogenia,1.23,8750043,0.16,1.18
75,1494,1494,Kepler-1056 b,3167.0,9.32 Earths,14.56,2016,Neptune-like,0.269 x Jupiter,Unknown,27.5 days,0,Kepler-1052,Transit,19h41m22.26s,+46d36m08.2s,2873.3333333333335,1.03,1.03,muy caliente,criogenia,0.269,9973109,0.664,2.11
76,1495,1495,Kepler-1057 b,4769.0,11.2 Earths,15.608,2016,Neptune-like,0.3 x Jupiter,Unknown,14.1 days,0,Kepler-1053,Transit,19h25m40.47s,+39d07m38.7s,2118.3333333333335,0.74,0.69,muy caliente,criogenia,0.3,6226290,0.133,2.66
77,1496,1496,Kepler-1058 b,1713.0,7.85 Earths,15.504,2016,Neptune-like,0.243 x Jupiter,Unknown,111 days,0,Kepler-1054,Transit,19h22m24.28s,+44d33m23.0s,3051.6666666666665,1.22,1.34,muy caliente,criogenia,0.243,9349482,0.729,2.11
78,1497,1497,Kepler-1059 b,2195.0,3.64 Earths,15.489,2016,Super Earth,1.73 x Earth,Unknown,3.8 days,0,Kepler-1055,Transit,19h21m56.83s,+44d55m57.4s,2781.6666666666665,0.98,0.94,muy caliente,criogenia,1.73,6356207,0.287,1.7
79,1498,1498,Kepler-105 b,1518.0,5.1 Earths,12.802,2013,Neptune-like,0.429 x Jupiter,0.066 AU,5.4 days,0.47,Kepler-1056,Transit,19h58m06.24s,+46d53m57.3s,3006.1111111111113,1.12,1.2,muy caliente,criogenia,0.429,9579641,0.787,2.94
80,1499,1499,Kepler-105 c,1518.0,4.6 Earths,12.802,2014,Super Earth,1.31 x Earth,0.0731 AU,7.1 days,0,Kepler-1057,Transit,19h49m48.52s,+41d33m29.2s,2928.3333333333335,1.07,1.1,muy caliente,criogenia,1.31,9579641,0.898,1.79
81,1500,1500,Kepler-1060 b,2809.0,6.26 Earths,14.637,2016,Neptune-like,0.212 x Jupiter,Unknown,46.9 days,0,Kepler-1058,Transit,19h38m22.99s,+45d52m30.1s,2182.222222222222,0.73,0.69,muy caliente,criogenia,0.212,4544907,0.834,2.62
82,1501,1501,Kepler-1061 b,1908.0,4.58 Earths,13.204,2016,Super Earth,1.98 x Earth,Unknown,2.8 days,0,Kepler-1059,Transit,19h16m52.85s,+41d42m23.3s,2327.777777777778,0.75,0.72,muy caliente,criogenia,1.98,11923284,0.875,1.69
83,1502,1502,Kepler-1062 b,1266.0,3.75 Earths,14.805,2016,Super Earth,1.76 x Earth,Unknown,9.3 days,0,Kepler-106,Transit,20h03m27.35s,+44d20m15.2s,2856.6666666666665,1.0,1.04,muy caliente,criogenia,1.76,5940165,0.488,1.67
84,1503,1503,Kepler-1063 b,1191.0,2.83 Earths,12.261,2016,Super Earth,1.49 x Earth,Unknown,14.1 days,0,Kepler-106,Transit,20h03m27.35s,+44d20m15.2s,2856.6666666666665,1.0,1.04,muy caliente,criogenia,1.49,2985767,0.544,2.08
85,1504,1504,Kepler-1064 b,1220.0,3.02 Earths,13.741,2016,Super Earth,1.55 x Earth,Unknown,16.5 days,0,Kepler-106,Transit,20h03m27.35s,+44d20m15.2s,2856.6666666666665,1.0,1.04,muy caliente,criogenia,1.55,2304320,0.688,1.57
86,1505,1505,Kepler-1065 b,3516.0,13.4 Earths,15.502,2016,Neptune-like,0.333 x Jupiter,Unknown,3.6 days,0,Kepler-106,Transit,20h03m27.35s,+44d20m15.2s,2856.6666666666665,1.0,1.04,muy caliente,criogenia,0.333,3657758,0.408,3.26
87,1506,1506,Kepler-1065 c,3516.0,3.19 Earths,15.502,2016,Super Earth,1.6 x Earth,Unknown,2.4 days,0,Kepler-1060,Transit,19h04m06.05s,+39d37m51.3s,2822.777777777778,0.99,0.99,muy caliente,criogenia,1.6,3657758,0.003,1.29
88,1507,1507,Kepler-1066 b,1302.0,6.17 Earths,13.024,2016,Neptune-like,0.211 x Jupiter,Unknown,1.9 days,0,Kepler-1061,Transit,19h44m55.20s,+50d16m30.8s,2972.777777777778,1.09,1.07,muy caliente,criogenia,0.211,9790806,0.861,2.25
89,1508,1508,Kepler-1067 b,2248.0,0.437 Earths,14.273,2016,Terrestrial,0.8 x Earth,Unknown,0.8 days,0,Kepler-1062,Transit,18h55m35.86s,+41d13m17.8s,2156.1111111111113,0.75,0.7,muy caliente,criogenia,0.8,8804845,0.399,0.75
90,1509,1509,Kepler-1068 b,4997.0,12.8 Earths,15.832,2016,Neptune-like,0.324 x Jupiter,Unknown,16.9 days,0,Kepler-1063,Transit,19h22m06.42s,+38d08m34.7s,2905.0,1.09,1.14,muy caliente,criogenia,0.324,9656252,0.515,3.4
91,1510,1510,Kepler-1069 b,1419.0,3.19 Earths,13.098,2016,Super Earth,1.6 x Earth,Unknown,23.9 days,0,Kepler-1064,Transit,19h26m57.99s,+37d41m20.2s,2465.0,0.85,0.79,muy caliente,criogenia,1.6,10663396,0.153,3.26
92,1511,1511,Kepler-106 b,1468.0,5.3 Earths,12.839,2014,Terrestrial,0.82 x Earth,Unknown,6.2 days,0,Kepler-1065,Transit,19h38m02.70s,+38d47m25.8s,2732.777777777778,0.94,0.93,muy caliente,criogenia,0.82,8395660,0.646,0.79
93,1512,1512,Kepler-106 c,1468.0,10.44 Earths,12.839,2014,Super Earth,0.223 x Jupiter,Unknown,13.6 days,0,Kepler-1065,Transit,19h38m02.70s,+38d47m25.8s,2732.777777777778,0.94,0.93,muy caliente,criogenia,0.223,8395660,0.866,2.64
94,1513,1513,Kepler-106 d,1468.0,8.1 Earths,12.839,2014,Terrestrial,0.95 x Earth,Unknown,24 days,0,Kepler-1066,Transit,19h55m27.98s,+46d30m08.1s,2803.3333333333335,0.98,0.98,muy caliente,criogenia,0.95,8395660,0.95,1.31
95,1514,1514,Kepler-106 e,1468.0,11.17 Earths,12.839,2014,Super Earth,0.228 x Jupiter,Unknown,43.8 days,0,Kepler-1067,Transit,19h01m32.98s,+45d02m56.6s,2708.8888888888887,0.95,0.93,muy caliente,criogenia,0.228,8395660,0.852,2.87
96,1515,1515,Kepler-1070 b,3392.0,3.64 Earths,13.913,2016,Super Earth,1.73 x Earth,Unknown,6.2 days,0,Kepler-1068,Transit,19h38m35.56s,+46d23m32.5s,2827.777777777778,1.01,1.01,muy caliente,criogenia,1.73,11457726,0.838,1.59
97,1516,1516,Kepler-1071 b,3145.0,6.26 Earths,15.829,2016,Neptune-like,0.212 x Jupiter,Unknown,6.2 days,0,Kepler-1069,Transit,19h23m55.04s,+47d59m20.4s,2781.1111111111113,0.99,0.98,muy caliente,criogenia,0.212,8956206,0.175,2.12
