,Unnamed: 0_x,kepid_x,name,koi_impact_x,koi_prad_x,Unnamed: 0_y,description,discovery date,Unnamed: 0,kepid_y,koi_impact_y,koi_prad_y
23,39,11153539,Kepler-666 b,0.312,2.1,1912,"Kepler-663 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 7.27 Earths, it takes 5 days to complete one orbit of its star, and is 0.0559 AU from its star. Its discovery was announced in 2016.",2016,39,11153539,0.312,2.1
24,41,9579641,Kepler-105 b,0.787,2.94,79,"Kepler-105 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 5.1 Earths, it takes 5.4 days to complete one orbit of its star, and is 0.066 AU from its star. Its discovery was announced in 2013.",2013,41,9579641,0.787,2.94
25,42,11304958,Kepler-667 b,0.355,5.5,1913,"Kepler-664 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.56 Earths, it takes 2.5 days to complete one orbit of its star, and is 0.0374 AU from its star. Its discovery was announced in 2016.",2016,42,11304958,0.355,5.5
26,43,11391957,Kepler-668 b,0.023,2.52,1914,"Kepler-665 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 7.27 Earths, it takes 16 days to complete one orbit of its star, and is 0.1148 AU from its star. Its discovery was announced in 2016.",2016,43,11391957,0.023,2.52
27,44,11403044,Kepler-669 b,0.597,4.43,1915,"Kepler-666 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.35 Earths, it takes 4.5 days to complete one orbit of its star, and is 0.0542 AU from its star. Its discovery was announced in 2016.",2013,44,11403044,0.597,4.43
28,45,11414511,Kepler-670 b,0.105,12.21,1917,"Kepler-668 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.75 Earths, it takes 8.4 days to complete one orbit of its star, and is 0.0768 AU from its star. Its discovery was announced in 2016.",2016,45,11414511,0.105,12.21
29,47,12110942,Kepler-680 b,0.151,1.89,1928,"Kepler-678 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 23.1 Earths, it takes 7.3 days to complete one orbit of its star, and is 0.0732 AU from its star. Its discovery was announced in 2016.",2016,47,12110942,0.151,1.89
30,48,12366084,Kepler-232 b,0.405,3.25,1094,"Kepler-231 b is a super Earth exoplanet that orbits an M-type star. Its mass is 35.4 Earths, it takes 10.1 days to complete one orbit of its star, and is 0.074 AU from its star. Its discovery was announced in 2014.",2014,48,12366084,0.405,3.25
31,49,12366084,Kepler-232 c,0.911,3.95,1095,"Kepler-231 c is a super Earth exoplanet that orbits an M-type star. Its mass is 24.1 Earths, it takes 19.3 days to complete one orbit of its star, and is 0.114 AU from its star. Its discovery was announced in 2014.",2014,49,12366084,0.911,3.95
32,50,12404086,Kepler-681 b,0.602,3.07,1929,"Kepler-679 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 9.32 Earths, it takes 12.4 days to complete one orbit of its star, and is 0.0983 AU from its star. Its discovery was announced in 2016.",2016,50,12404086,0.602,3.07
33,51,8395660,Kepler-106 c,0.866,2.64,93,"Kepler-106 c is a super Earth exoplanet that orbits a G-type star. Its mass is 10.44 Earths, it takes 13.6 days to complete one orbit of its star, and is 0.1096 AU from its star. Its discovery was announced in 2014.",2014,51,8395660,0.866,2.64
34,52,9579641,Kepler-105 c,0.898,1.79,80,"Kepler-105 c is a super Earth exoplanet that orbits an F-type star. Its mass is 4.6 Earths, it takes 7.1 days to complete one orbit of its star, and is 0.0711 AU from its star. Its discovery was announced in 2014.",2014,52,9579641,0.898,1.79
35,54,11754553,Kepler-52 c,0.001,2.0,1727,"Kepler-529 c is a super Earth exoplanet that orbits an F-type star. Its mass is 4.66 Earths, it takes 12.8 days to complete one orbit of its star, and is 0.1075 AU from its star. Its discovery was announced in 2016.",2014,54,11754553,0.001,2.0
36,55,11754553,Kepler-52 b,0.041,2.16,1726,"Kepler-529 b is a super Earth exoplanet that orbits an F-type star. Its mass is 4.12 Earths, it takes 2 days to complete one orbit of its star, and is 0.0309 AU from its star. Its discovery was announced in 2016.",2012,55,11754553,0.041,2.16
37,56,11754553,Kepler-52 d,0.028,1.99,1728,"Kepler-52 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 0.42476 Jupiters, it takes 7.9 days to complete one orbit of its star, and is 0.0637 AU from its star. Its discovery was announced in 2012.",2016,56,11754553,0.028,1.99
38,57,11812062,Kepler-673 b,0.558,6.02,1920,"Kepler-670 b is a gas giant exoplanet that orbits a G-type star. Its mass is Unknown, it takes 2.8 days to complete one orbit of its star, and is 0.0383 AU from its star. Its discovery was announced in 2016.",2016,57,11812062,0.558,6.02
39,59,11853255,Kepler-674 b,0.915,1.99,1921,"Kepler-671 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.7 Earths, it takes 4.3 days to complete one orbit of its star, and is 0.0503 AU from its star. Its discovery was announced in 2016.",2016,59,11853255,0.915,1.99
40,61,11918099,Kepler-675 b,0.28,2.34,1922,"Kepler-672 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.8 Earths, it takes 38.4 days to complete one orbit of its star, and is 0.2163 AU from its star. Its discovery was announced in 2016.",2016,61,11918099,0.28,2.34
41,64,11923270,Kepler-676 b,0.679,2.65,1923,"Kepler-673 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 34.8 Earths, it takes 3.7 days to complete one orbit of its star, and is 0.0455 AU from its star. Its discovery was announced in 2016.",2016,64,11923270,0.679,2.65
42,65,11960862,Kepler-677 b,0.39,5.31,1924,"Kepler-674 b is a super Earth exoplanet that orbits a K-type star. Its mass is 3.5 Earths, it takes 2.2 days to complete one orbit of its star, and is 0.028 AU from its star. Its discovery was announced in 2016.",2016,65,11960862,0.39,5.31
43,66,12020329,Kepler-678 b,0.547,4.86,1925,"Kepler-675 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 6.53 Earths, it takes 2.3 days to complete one orbit of its star, and is 0.0325 AU from its star. Its discovery was announced in 2016.",2016,66,12020329,0.547,4.86
44,67,12066335,Kepler-231 c,0.031,1.93,1093,"Kepler-230 c is a super Earth exoplanet that orbits a G-type star. Its mass is 4.82 Earths, it takes 91.8 days to complete one orbit of its star, and is 0.38 AU from its star. Its discovery was announced in 2014.",2014,67,12066335,0.031,1.93
